count,lon,lat,area
748,-122.3,45.2,"POLYGON((-122.3 45.2,-122.3 45.3,-122.2 45.3,-122.2 45.2,-122.3 45.2))"
62,-122.2,45.2,"POLYGON((-122.2 45.2,-122.2 45.3,-122.1 45.3,-122.1 45.2,-122.2 45.2))"
87,-121.8,45.2,"POLYGON((-121.8 45.2,-121.8 45.3,-121.7 45.3,-121.7 45.2,-121.8 45.2))"
25,-123.1,45.3,"POLYGON((-123.1 45.3,-123.1 45.4,-123.0 45.4,-123.0 45.3,-123.1 45.3))"
883,-123.0,45.3,"POLYGON((-123.0 45.3,-123.0 45.4,-122.9 45.4,-122.9 45.3,-123.0 45.3))"
11943,-122.9,45.3,"POLYGON((-122.9 45.3,-122.9 45.4,-122.8 45.4,-122.8 45.3,-122.9 45.3))"
22579,-122.8,45.3,"POLYGON((-122.8 45.3,-122.8 45.4,-122.7 45.4,-122.7 45.3,-122.8 45.3))"
23821,-122.7,45.3,"POLYGON((-122.7 45.3,-122.7 45.4,-122.6 45.4,-122.6 45.3,-122.7 45.3))"
17115,-122.6,45.3,"POLYGON((-122.6 45.3,-122.6 45.4,-122.5 45.4,-122.5 45.3,-122.6 45.3))"
2016,-122.5,45.3,"POLYGON((-122.5 45.3,-122.5 45.4,-122.4 45.4,-122.4 45.3,-122.5 45.3))"
2819,-122.4,45.3,"POLYGON((-122.4 45.3,-122.4 45.4,-122.3 45.4,-122.3 45.3,-122.4 45.3))"
5372,-122.3,45.3,"POLYGON((-122.3 45.3,-122.3 45.4,-122.2 45.4,-122.2 45.3,-122.3 45.3))"
803,-122.2,45.3,"POLYGON((-122.2 45.3,-122.2 45.4,-122.1 45.4,-122.1 45.3,-122.2 45.3))"
679,-122.1,45.3,"POLYGON((-122.1 45.3,-122.1 45.4,-122.0 45.4,-122.0 45.3,-122.1 45.3))"
3287,-122.0,45.3,"POLYGON((-122.0 45.3,-122.0 45.4,-121.9 45.4,-121.9 45.3,-122.0 45.3))"
348,-121.9,45.3,"POLYGON((-121.9 45.3,-121.9 45.4,-121.8 45.4,-121.8 45.3,-121.9 45.3))"
688,-121.8,45.3,"POLYGON((-121.8 45.3,-121.8 45.4,-121.7 45.4,-121.7 45.3,-121.8 45.3))"
1,-123.4,45.4,"POLYGON((-123.4 45.4,-123.4 45.5,-123.3 45.5,-123.3 45.4,-123.4 45.4))"
296,-123.3,45.4,"POLYGON((-123.3 45.4,-123.3 45.5,-123.2 45.5,-123.2 45.4,-123.3 45.4))"
937,-123.2,45.4,"POLYGON((-123.2 45.4,-123.2 45.5,-123.1 45.5,-123.1 45.4,-123.2 45.4))"
1339,-123.1,45.4,"POLYGON((-123.1 45.4,-123.1 45.5,-123.0 45.5,-123.0 45.4,-123.1 45.4))"
4440,-123.0,45.4,"POLYGON((-123.0 45.4,-123.0 45.5,-122.9 45.5,-122.9 45.4,-123.0 45.4))"
59507,-122.9,45.4,"POLYGON((-122.9 45.4,-122.9 45.5,-122.8 45.5,-122.8 45.4,-122.9 45.4))"
68623,-122.8,45.4,"POLYGON((-122.8 45.4,-122.8 45.5,-122.7 45.5,-122.7 45.4,-122.8 45.4))"
61783,-122.7,45.4,"POLYGON((-122.7 45.4,-122.7 45.5,-122.6 45.5,-122.6 45.4,-122.7 45.4))"
55309,-122.6,45.4,"POLYGON((-122.6 45.4,-122.6 45.5,-122.5 45.5,-122.5 45.4,-122.6 45.4))"
21149,-122.5,45.4,"POLYGON((-122.5 45.4,-122.5 45.5,-122.4 45.5,-122.4 45.4,-122.5 45.4))"
8353,-122.4,45.4,"POLYGON((-122.4 45.4,-122.4 45.5,-122.3 45.5,-122.3 45.4,-122.4 45.4))"
2375,-122.3,45.4,"POLYGON((-122.3 45.4,-122.3 45.5,-122.2 45.5,-122.2 45.4,-122.3 45.4))"
48,-122.2,45.4,"POLYGON((-122.2 45.4,-122.2 45.5,-122.1 45.5,-122.1 45.4,-122.2 45.4))"
2,-122.1,45.4,"POLYGON((-122.1 45.4,-122.1 45.5,-122.0 45.5,-122.0 45.4,-122.1 45.4))"
1,-122.0,45.4,"POLYGON((-122.0 45.4,-122.0 45.5,-121.9 45.5,-121.9 45.4,-122.0 45.4))"
1,-121.9,45.4,"POLYGON((-121.9 45.4,-121.9 45.5,-121.8 45.5,-121.8 45.4,-121.9 45.4))"
199,-123.3,45.5,"POLYGON((-123.3 45.5,-123.3 45.6,-123.2 45.6,-123.2 45.5,-123.3 45.5))"
5839,-123.2,45.5,"POLYGON((-123.2 45.5,-123.2 45.6,-123.1 45.6,-123.1 45.5,-123.2 45.5))"
7409,-123.1,45.5,"POLYGON((-123.1 45.5,-123.1 45.6,-123.0 45.6,-123.0 45.5,-123.1 45.5))"
34812,-123.0,45.5,"POLYGON((-123.0 45.5,-123.0 45.6,-122.9 45.6,-122.9 45.5,-123.0 45.5))"
61220,-122.9,45.5,"POLYGON((-122.9 45.5,-122.9 45.6,-122.8 45.6,-122.8 45.5,-122.9 45.5))"
35645,-122.8,45.5,"POLYGON((-122.8 45.5,-122.8 45.6,-122.7 45.6,-122.7 45.5,-122.8 45.5))"
121981,-122.7,45.5,"POLYGON((-122.7 45.5,-122.7 45.6,-122.6 45.6,-122.6 45.5,-122.7 45.5))"
55179,-122.6,45.5,"POLYGON((-122.6 45.5,-122.6 45.6,-122.5 45.6,-122.5 45.5,-122.6 45.5))"
34472,-122.5,45.5,"POLYGON((-122.5 45.5,-122.5 45.6,-122.4 45.6,-122.4 45.5,-122.5 45.5))"
6694,-122.4,45.5,"POLYGON((-122.4 45.5,-122.4 45.6,-122.3 45.6,-122.3 45.5,-122.4 45.5))"
589,-122.3,45.5,"POLYGON((-122.3 45.5,-122.3 45.6,-122.2 45.6,-122.2 45.5,-122.3 45.5))"
82,-122.2,45.5,"POLYGON((-122.2 45.5,-122.2 45.6,-122.1 45.6,-122.1 45.5,-122.2 45.5))"
2,-122.1,45.5,"POLYGON((-122.1 45.5,-122.1 45.6,-122.0 45.6,-122.0 45.5,-122.1 45.5))"
32,-123.4,45.6,"POLYGON((-123.4 45.6,-123.4 45.7,-123.3 45.7,-123.3 45.6,-123.4 45.6))"
395,-123.3,45.6,"POLYGON((-123.3 45.6,-123.3 45.7,-123.2 45.7,-123.2 45.6,-123.3 45.6))"
1691,-123.2,45.6,"POLYGON((-123.2 45.6,-123.2 45.7,-123.1 45.7,-123.1 45.6,-123.2 45.6))"
828,-123.1,45.6,"POLYGON((-123.1 45.6,-123.1 45.7,-123.0 45.7,-123.0 45.6,-123.1 45.6))"
747,-123.0,45.6,"POLYGON((-123.0 45.6,-123.0 45.7,-122.9 45.7,-122.9 45.6,-123.0 45.6))"
2229,-122.9,45.6,"POLYGON((-122.9 45.6,-122.9 45.7,-122.8 45.7,-122.8 45.6,-122.9 45.6))"
1310,-122.8,45.6,"POLYGON((-122.8 45.6,-122.8 45.7,-122.7 45.7,-122.7 45.6,-122.8 45.6))"
7731,-122.7,45.6,"POLYGON((-122.7 45.6,-122.7 45.7,-122.6 45.7,-122.6 45.6,-122.7 45.6))"
68,-122.1,45.6,"POLYGON((-122.1 45.6,-122.1 45.7,-122.0 45.7,-122.0 45.6,-122.1 45.6))"
2,-122.0,45.6,"POLYGON((-122.0 45.6,-122.0 45.7,-121.9 45.7,-121.9 45.6,-122.0 45.6))"
26,-123.4,45.7,"POLYGON((-123.4 45.7,-123.4 45.8,-123.3 45.8,-123.3 45.7,-123.4 45.7))"
209,-123.3,45.7,"POLYGON((-123.3 45.7,-123.3 45.8,-123.2 45.8,-123.2 45.7,-123.3 45.7))"
143,-123.2,45.7,"POLYGON((-123.2 45.7,-123.2 45.8,-123.1 45.8,-123.1 45.7,-123.2 45.7))"
78,-123.1,45.7,"POLYGON((-123.1 45.7,-123.1 45.8,-123.0 45.8,-123.0 45.7,-123.1 45.7))"
33,-123.0,45.7,"POLYGON((-123.0 45.7,-123.0 45.8,-122.9 45.8,-122.9 45.7,-123.0 45.7))"
295,-122.9,45.7,"POLYGON((-122.9 45.7,-122.9 45.8,-122.8 45.8,-122.8 45.7,-122.9 45.7))"
47,-122.8,45.7,"POLYGON((-122.8 45.7,-122.8 45.8,-122.7 45.8,-122.7 45.7,-122.8 45.7))"
